,precision,recall,f1-score,support
0,0.0,0.0,0.0,22.0
1,0.0,0.0,0.0,64.0
2,0.0,0.0,0.0,84.0
3,0.0,0.0,0.0,49.0
4,0.7550403225806451,1.0,0.8604250430786904,749.0
5,0.0,0.0,0.0,24.0
micro avg,0.7550403225806451,0.7550403225806451,0.7550403225806451,992.0
macro avg,0.12584005376344085,0.16666666666666666,0.1434041738464484,992.0
weighted avg,0.5700858887226846,0.7550403225806451,0.6496556020825999,992.0
samples avg,0.7550403225806451,0.7550403225806451,0.7550403225806451,992.0
