,precision,recall,f1-score,support
0,0.0,0.0,0.0,11.0
1,0.0,0.0,0.0,21.0
2,0.0,0.0,0.0,83.0
3,0.0,0.0,0.0,28.0
4,0.8184971098265896,1.0,0.9001907183725366,708.0
5,0.0,0.0,0.0,14.0
micro avg,0.8184971098265896,0.8184971098265896,0.8184971098265897,865.0
macro avg,0.13641618497109828,0.16666666666666666,0.15003178639542278,865.0
weighted avg,0.6699375187944804,0.8184971098265896,0.7368035012806426,865.0
samples avg,0.8184971098265896,0.8184971098265896,0.8184971098265896,865.0
