,precision,recall,f1-score,support
0,0.16666666666666666,0.14285714285714285,0.15384615384615383,14.0
1,0.3076923076923077,0.16666666666666666,0.21621621621621623,24.0
2,0.13636363636363635,0.06382978723404255,0.08695652173913043,94.0
3,0.0,0.0,0.0,42.0
4,0.8019441069258809,0.9282700421940928,0.8604954367666232,711.0
5,0.0,0.0,0.0,15.0
micro avg,0.7466666666666667,0.7466666666666667,0.7466666666666667,900.0
macro avg,0.23544445294141525,0.2169372731586575,0.2195857214280206,900.0
weighted avg,0.6585759895115909,0.7466666666666667,0.6970324488084253,900.0
samples avg,0.7466666666666667,0.7466666666666667,0.7466666666666667,900.0
